Battery_Level,Temperature,Voltage,Current,Status
1,26.2,3461,564877,1
1,26.2,3461,564877,1
1,26.2,3461,-95672,1
1,26.2,3461,-95672,1
1,26.2,3461,-95672,1
1,26.2,3461,-95672,1
1,26.2,3461,-95672,1
1,26.2,3461,-95672,1
1,26.2,3461,-95672,1
1,26.2,3461,-95672,1
1,26.2,3461,-95672,1
1,26.2,3461,-95672,1
1,26.2,3461,-95672,1
1,26.2,3461,-95672,1
1,26.2,3461,-95672,1
1,26.2,3461,-95672,1
1,26.2,3461,-95672,1
1,26.2,3461,-95672,1
1,26.2,3461,-95672,1
1,26.2,3461,-95672,1
1,26.2,3461,-95672,1
1,26.2,3461,-95672,1
1,26.2,3461,-95672,1
1,26.2,3461,-95672,1
1,26.2,3461,-95672,1
1,26.2,3461,-95672,1
1,26.2,3461,-95672,1
1,29.5,3881,-95672,1
1,29.5,3881,-95672,1
3,29.5,3881,-95672,1
3,29.5,3881,-95672,1
3,29.5,3881,102538,1
3,29.5,3881,102538,1
3,29.5,3881,102538,1
3,29.5,3881,102538,1
3,29.5,3881,102538,1
3,29.5,3881,102538,1
3,29.5,3881,102538,1
3,29.5,3881,102538,1
3,29.5,3881,102538,1
3,29.5,3881,102538,1
3,29.5,3881,102538,1
3,29.5,3881,102538,1
3,29.5,3881,102538,1
3,29.5,3881,102538,1
3,29.5,3881,102538,1
3,29.5,3881,102538,1
3,29.5,3881,102538,1
3,29.5,3881,102538,1
3,29.5,3881,102538,1
3,30.5,3812,62713,1
3,30.5,3812,62713,1
3,30.5,3812,62713,1
3,30.5,3812,62713,1
3,30.5,3812,62713,1
3,30.5,3812,62713,1
3,30.5,3812,62713,1
3,30.5,3812,62713,1
3,30.5,3812,62713,1
3,30.5,3812,62713,1
3,30.5,3812,-174712,1
3,30.5,3812,-174712,1
3,30.5,3812,-174712,1
3,30.5,3812,-174712,1
3,30.5,3812,-174712,1
3,30.5,3812,-174712,1
3,30.5,3812,-174712,1
3,30.5,3812,-174712,1
3,30.5,3812,-174712,1
3,30.5,3812,-174712,1
5,31.2,3856,-174712,1
5,31.2,3856,-174712,1
5,31.2,3856,-174712,1
5,31.2,3856,-174712,1
5,31.2,3856,-174712,1
5,31.2,3856,-174712,1
5,31.2,3856,-174712,1
5,31.2,3856,-174712,1
5,31.2,3856,-174712,1
5,31.2,3856,-174712,1
5,31.2,3856,-174712,1
5,31.2,3856,-174712,1
5,31.2,3856,-174712,1
5,31.2,3856,-174712,1
5,31.2,3856,-174712,1
5,32.2,3856,-174712,1
5,32.2,3856,-174712,1
5,32.2,3856,-174712,1
5,32.2,3856,-174712,1
5,32.2,3856,-447079,1
5,32.2,3856,-447079,1
5,32.2,3856,-447079,1
5,32.2,3856,-447079,1
5,32.2,3856,-447079,1
5,32.2,3856,-447079,1
5,32.5,4222,-1083672,1
5,32.5,4222,-1083672,1
5,32.5,4222,-1083672,1
5,32.5,4222,-1083672,1
5,32.5,4222,-1083672,1
5,32.5,4222,-1083672,1
